repo,contributor,contributions
tensorflow/tensorflow,tensorflower-gardener,58227
tensorflow/tensorflow,ezhulenev,2867
tensorflow/tensorflow,akuegel,1851
tensorflow/tensorflow,hawkinsp,1611
tensorflow/tensorflow,mihaimaruseac,1555
tensorflow/tensorflow,yongtang,1448
tensorflow/tensorflow,gunan,1347
tensorflow/tensorflow,caisq,1251
tensorflow/tensorflow,mrry,1241
tensorflow/tensorflow,cheshire,1161
tensorflow/tensorflow,roserg,1131
tensorflow/tensorflow,benoitsteiner,1046
tensorflow/tensorflow,jpienaar,1035
tensorflow/tensorflow,pifon2a,956
tensorflow/tensorflow,qlzh727,941
tensorflow/tensorflow,d0k,940
tensorflow/tensorflow,River707,887
tensorflow/tensorflow,joker-eph,881
tensorflow/tensorflow,chsigg,878
tensorflow/tensorflow,martinwicke,801
tensorflow/tensorflow,yifeif,788
tensorflow/tensorflow,ddunl,714
tensorflow/tensorflow,allenlavoie,709
tensorflow/tensorflow,yangustc07,705
tensorflow/tensorflow,smit-hinsu,701
tensorflow/tensorflow,jreiffers,671
tensorflow/tensorflow,jsimsa,668
tensorflow/tensorflow,klucke,640
tensorflow/tensorflow,ebrevdo,635
tensorflow/tensorflow,alextp,628
Significant-Gravitas/AutoGPT,Auto-GPT-Bot,1076
Significant-Gravitas/AutoGPT,majdyz,925
Significant-Gravitas/AutoGPT,Pwuts,900
Significant-Gravitas/AutoGPT,Swiftyos,523
Significant-Gravitas/AutoGPT,Torantulino,486
Significant-Gravitas/AutoGPT,waynehamadi,457
Significant-Gravitas/AutoGPT,ntindle,376
Significant-Gravitas/AutoGPT,hunteraraujo,283
Significant-Gravitas/AutoGPT,0ubbe,275
Significant-Gravitas/AutoGPT,richbeales,243
Significant-Gravitas/AutoGPT,Abhi1992002,237
Significant-Gravitas/AutoGPT,Bentlybro,209
Significant-Gravitas/AutoGPT,dependabot[bot],179
Significant-Gravitas/AutoGPT,aarushik93,174
Significant-Gravitas/AutoGPT,kcze,155
Significant-Gravitas/AutoGPT,BillSchumacher,151
Significant-Gravitas/AutoGPT,SilenNaihin,148
Significant-Gravitas/AutoGPT,Otto-AGPT,87
Significant-Gravitas/AutoGPT,lc0rp,49
Significant-Gravitas/AutoGPT,AndresCdo,47
Significant-Gravitas/AutoGPT,p-i-,45
Significant-Gravitas/AutoGPT,sadmuphin,38
Significant-Gravitas/AutoGPT,maiko,36
Significant-Gravitas/AutoGPT,drikusroor,32
Significant-Gravitas/AutoGPT,erik-megarad,29
Significant-Gravitas/AutoGPT,Wladastic,28
Significant-Gravitas/AutoGPT,coditamar,24
Significant-Gravitas/AutoGPT,k-boikov,20
Significant-Gravitas/AutoGPT,rihp,19
Significant-Gravitas/AutoGPT,csolar,19
f/prompts.chat,f,1658
