full_name,owner,name,stars,forks,watchers,language,created_at,pushed_at,open_issues,license,topics,description_length,age_days
tensorflow/tensorflow,tensorflow,tensorflow,195674,75183,195674,C++,2015-11-07 01:19:20+00:00,2026-06-15 11:54:13+00:00,3465,Apache-2.0,"['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",54,3873
Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,184951,46137,184951,Python,2023-03-16 09:21:07+00:00,2026-06-15 11:56:35+00:00,441,NOASSERTION,"['agentic-ai', 'agents', 'ai', 'artificial-intelligence', 'autonomous-agents', 'claude', 'gpt', 'llama-api', 'llm', 'openai', 'python']",152,1187
f/prompts.chat,f,prompts.chat,163757,21239,163757,HTML,2022-12-05 13:54:13+00:00,2026-06-15 04:37:28+00:00,54,NOASSERTION,"['ai', 'artificial-intelligence', 'awesome-list', 'chatgpt', 'chatgpt-prompts', 'claude', 'gemini', 'gpt', 'gpt-4', 'llm', 'machine-learning', 'nextjs', 'open-source', 'openai', 'prompt-engineering', 'prompts', 'prompts-chat', 'typescript']",166,1287
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,163727,30369,163727,Python,2022-08-22 14:05:26+00:00,2026-03-02 07:00:53+00:00,2490,AGPL-3.0,"['ai', 'ai-art', 'deep-learning', 'diffusion', 'gradio', 'image-generation', 'image2image', 'img2img', 'pytorch', 'stable-diffusion', 'text2image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",23,1287
huggingface/transformers,huggingface,transformers,161596,33507,161596,Python,2018-10-29 13:56:00+00:00,2026-06-15 11:50:43+00:00,2461,Apache-2.0,"['audio', 'deep-learning', 'deepseek', 'gemma', 'glm', 'hacktoberfest', 'llm', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'qwen', 'speech-recognition', 'transformer', 'vlm']",172,2785
pytorch/pytorch,pytorch,pytorch,100772,28023,100772,Python,2016-08-13 05:26:41+00:00,2026-06-15 11:46:47+00:00,18386,NOASSERTION,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",74,3593
rasbt/LLMs-from-scratch,rasbt,LLMs-from-scratch,97218,14870,97218,Jupyter Notebook,2023-07-23 18:15:57+00:00,2026-06-02 14:14:19+00:00,3,NOASSERTION,"['ai', 'artificial-intelligence', 'attention-mechanism', 'deep-learning', 'finetuning', 'from-scratch', 'generative-ai', 'gpt', 'instruction-tuning', 'language-model', 'large-language-models', 'llm', 'machine-learning', 'natural-language-processing', 'pretraining', 'python', 'pytorch', 'tokenizer', 'transformers']",66,1044
hacksider/Deep-Live-Cam,hacksider,Deep-Live-Cam,93856,13686,93856,Python,2023-09-24 13:19:31+00:00,2026-06-14 15:04:27+00:00,59,AGPL-3.0,"['ai', 'ai-deep-fake', 'ai-face', 'ai-webcam', 'artificial-intelligence', 'deep-fake', 'deepfake', 'deepfake-webcam', 'faceswap', 'fake-webcam', 'gan', 'real-time-deepfake', 'realtime', 'realtime-deepfake', 'realtime-face-changer', 'video-deepfake', 'webcam', 'webcamera']",73,994
opencv/opencv,opencv,opencv,89162,56658,89162,C++,2012-07-19 09:40:17+00:00,2026-06-15 10:55:02+00:00,2720,Apache-2.0,"['c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing', 'opencv']",35,5079
microsoft/ML-For-Beginners,microsoft,ML-For-Beginners,86867,21085,86867,Jupyter Notebook,2021-03-03 01:34:05+00:00,2026-06-09 14:40:21+00:00,11,MIT,"['data-science', 'education', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'machinelearning-python', 'microsoft-for-beginners', 'ml', 'python', 'r', 'scikit-learn', 'scikit-learn-python']",66,1924
thedotmack/claude-mem,thedotmack,claude-mem,82411,7123,82411,JavaScript,2025-08-31 20:50:03+00:00,2026-06-15 07:06:04+00:00,130,Apache-2.0,"['ai', 'ai-agents', 'ai-memory', 'anthropic', 'artificial-intelligence', 'chromadb', 'claude', 'claude-agent-sdk', 'claude-agents', 'claude-code', 'claude-code-plugin', 'claude-skills', 'embeddings', 'long-term-memory', 'mem0', 'memory-engine', 'openmemory', 'rag', 'sqlite', 'supermemory']",267,287
Developer-Y/cs-video-courses,Developer-Y,cs-video-courses,81801,11301,81801,,2016-10-21 17:02:11+00:00,2026-06-15 10:00:10+00:00,3,,"['algorithms', 'bioinformatics', 'computational-biology', 'computational-physics', 'computer-architecture', 'computer-science', 'computer-vision', 'database-systems', 'databases', 'deep-learning', 'embedded-systems', 'machine-learning', 'quantum-computing', 'reinforcement-learning', 'robotics', 'security', 'systems', 'web-development']",53,3523
mlabonne/llm-course,mlabonne,llm-course,80150,9333,80150,,2023-06-17 22:16:25+00:00,2026-02-05 13:09:26+00:00,84,Apache-2.0,"['course', 'large-language-models', 'llm', 'machine-learning', 'roadmap']",82,963
netdata/netdata,netdata,netdata,79164,6452,79164,C,2013-06-17 18:39:10+00:00,2026-06-15 11:21:08+00:00,335,GPL-3.0,"['ai', 'alerting', 'cncf', 'data-visualization', 'database', 'devops', 'docker', 'grafana', 'influxdb', 'kubernetes', 'linux', 'machine-learning', 'mcp', 'mongodb', 'monitoring', 'mysql', 'netdata', 'observability', 'postgresql', 'prometheus']",77,4745
d2l-ai/d2l-zh,d2l-ai,d2l-zh,78338,12270,78338,Python,2017-08-23 04:40:24+00:00,2024-07-30 09:32:19+00:00,130,Apache-2.0,"['book', 'chinese', 'computer-vision', 'deep-learning', 'machine-learning', 'natural-language-processing', 'notebook', 'python']",49,2533
OpenHands/OpenHands,OpenHands,OpenHands,77153,9800,77153,Python,2024-03-13 03:33:31+00:00,2026-06-15 04:50:47+00:00,331,NOASSERTION,"['agent', 'artificial-intelligence', 'chatgpt', 'claude-ai', 'cli', 'developer-tools', 'gpt', 'llm', 'openai']",34,824
dair-ai/Prompt-Engineering-Guide,dair-ai,Prompt-Engineering-Guide,75636,8216,75636,MDX,2022-12-16 16:04:50+00:00,2026-03-11 20:09:13+00:00,268,MIT,"['agent', 'agents', 'ai-agents', 'chatgpt', 'deep-learning', 'generative-ai', 'language-model', 'llms', 'openai', 'prompt-engineering', 'rag']",115,1181
tesseract-ocr/tesseract,tesseract-ocr,tesseract,74701,10655,74701,C++,2014-08-12 18:04:59+00:00,2026-06-13 14:33:54+00:00,481,Apache-2.0,"['hacktoberfest', 'lstm', 'machine-learning', 'ocr', 'ocr-engine', 'tesseract', 'tesseract-ocr']",50,4322
binhnguyennus/awesome-scalability,binhnguyennus,awesome-scalability,71749,7016,71749,,2017-12-27 03:46:40+00:00,2026-01-04 03:51:47+00:00,23,MIT,"['architecture', 'awesome', 'awesome-list', 'backend', 'big-data', 'computer-science', 'design-patterns', 'devops', 'distributed-systems', 'interview', 'interview-practice', 'interview-questions', 'lists', 'machine-learning', 'programming', 'resources', 'scalability', 'system', 'system-design', 'web-development']",70,2930
